Bill No,Transaction Date,Menu Item,Item Category,Guest ID,Bill Amount,Qty,Outlet
B00000,2023-10-30 22:00:00,Tea,Beverage,G0160,248.58,3,Koramangala
B00001,2023-02-05 20:00:00,Tea,Beverage,G0046,225.77,3,Koramangala
B00002,2023-08-13 14:00:00,Sandwich,Food,G0372,266.63,2,MG Road
B00003,2023-08-05 07:00:00,Sandwich,Beverage,G0112,173.83,1,Koramangala
B00004,2024-05-13 12:00:00,Espresso,Beverage,G0045,183.27,1,Koramangala
B00005,2024-04-15 04:00:00,Croissant,Beverage,G0247,530.69,2,MG Road
B00006,2023-08-27 22:00:00,Cold Brew,Food,G0104,299.3,1,Koramangala
B00007,2023-09-19 01:00:00,Latte,Beverage,G0085,328.52,2,Indiranagar
B00008,2023-01-20 10:00:00,Tea,Beverage,G0134,418.61,3,Koramangala
B00009,2023-07-04 10:00:00,Muffin,Food,G0108,416.1,2,MG Road
B00010,2023-08-21 10:00:00,Croissant,Beverage,G0018,118.4,1,Indiranagar
B00011,2024-04-29 20:00:00,Muffin,Beverage,G0094,553.98,2,Indiranagar
B00012,2024-04-18 11:00:00,Espresso,Food,G0150,181.08,3,Koramangala
B00013,2024-04-07 23:00:00,Espresso,Food,G0246,492.15,1,Indiranagar
B00014,2023-12-13 18:00:00,Espresso,Food,G0289,520.42,3,MG Road
B00015,2023-03-12 05:00:00,Cappuccino,Food,G0209,487.49,3,Indiranagar
B00016,2023-02-02 01:00:00,Muffin,Beverage,G0126,410.02,2,Koramangala
B00017,2024-03-16 23:00:00,Croissant,Beverage,G0235,88.33,3,Koramangala
B00018,2023-10-17 13:00:00,Cold Brew,Food,G0122,285.41,1,Indiranagar
B00019,2023-04-12 09:00:00,Croissant,Food,G0138,424.76,3,MG Road
B00020,2023-08-10 07:00:00,Sandwich,Beverage,G0115,300.85,3,MG Road
B00021,2023-07-30 11:00:00,Sandwich,Food,G0162,572.18,2,Koramangala
B00022,2023-09-25 12:00:00,Tea,Beverage,G0201,256.02,3,Koramangala
B00023,2023-02-19 08:00:00,Cold Brew,Food,G0234,247.31,2,MG Road
B00024,2023-07-09 19:00:00,Sandwich,Beverage,G0028,231.62,2,Indiranagar
B00025,2023-05-22 01:00:00,Espresso,Food,G0011,269.69,1,Indiranagar
B00026,2024-05-27 21:00:00,Croissant,Food,G0206,397.72,1,Indiranagar
B00027,2023-09-24 12:00:00,Muffin,Beverage,G0167,483.0,1,Indiranagar
B00028,2024-06-27 03:00:00,Espresso,Food,G0247,457.66,1,MG Road
B00029,2024-04-07 08:00:00,Cappuccino,Beverage,G0047,540.4,2,Koramangala
B00030,2023-12-28 02:00:00,Sandwich,Beverage,G0246,584.97,3,Koramangala
B00031,2024-01-22 10:00:00,Espresso,Beverage,G0127,545.17,1,Indiranagar
B00032,2023-04-17 14:00:00,Espresso,Beverage,G0147,90.8,1,MG Road
B00033,2023-11-24 01:00:00,Cappuccino,Beverage,G0118,499.47,1,MG Road
B00034,2023-03-27 07:00:00,Latte,Food,G0399,198.79,3,Indiranagar
B00035,2023-04-25 11:00:00,Croissant,Food,G0382,155.77,1,Indiranagar
B00036,2024-01-17 23:00:00,Muffin,Beverage,G0152,443.94,3,Indiranagar
B00037,2024-02-21 14:00:00,Tea,Food,G0072,262.25,2,Koramangala
B00038,2023-01-08 21:00:00,Latte,Beverage,G0363,112.56,2,Indiranagar
B00039,2023-04-24 22:00:00,Sandwich,Food,G0137,158.45,2,Koramangala
B00040,2023-05-06 05:00:00,Espresso,Food,G0175,80.53,3,MG Road
B00041,2023-07-14 02:00:00,Cold Brew,Food,G0289,594.84,1,MG Road
B00042,2023-03-21 03:00:00,Cappuccino,Food,G0019,94.03,1,Koramangala
B00043,2023-11-19 06:00:00,Cappuccino,Beverage,G0195,199.39,1,Koramangala
B00044,2023-02-22 19:00:00,Cold Brew,Beverage,G0330,317.27,1,Koramangala
B00045,2023-03-05 16:00:00,Croissant,Food,G0175,283.25,1,Koramangala
B00046,2024-04-19 18:00:00,Latte,Food,G0354,599.68,3,Indiranagar
B00047,2023-05-29 04:00:00,Tea,Beverage,G0141,102.96,2,MG Road
B00048,2023-06-12 02:00:00,Croissant,Food,G0246,371.96,1,Indiranagar
B00049,2024-01-04 06:00:00,Cold Brew,Beverage,G0385,467.87,2,Koramangala
B00050,2024-04-06 16:00:00,Espresso,Beverage,G0093,611.07,3,Indiranagar
B00051,2023-08-13 17:00:00,Cold Brew,Beverage,G0239,433.61,3,Indiranagar
B00052,2024-03-18 19:00:00,Croissant,Food,G0205,538.14,1,MG Road
B00053,2024-01-02 08:00:00,Muffin,Beverage,G0048,127.72,3,Indiranagar
B00054,2024-03-15 19:00:00,Cappuccino,Food,G0245,299.99,2,MG Road
B00055,2024-03-03 05:00:00,Cappuccino,Beverage,G0320,293.15,1,Koramangala
