account_id,signup_date,mrr,plan_tier,region,seats
ACC0000,2023-10-28,499,Pro,NA,31
ACC0001,2022-07-28,499,Enterprise,APAC,3
ACC0002,2022-02-03,499,Starter,EU,17
ACC0003,2023-10-11,199,Starter,NA,26
ACC0004,2022-11-14,49,Starter,NA,23
ACC0005,2022-04-30,49,Pro,EU,6
ACC0006,2023-09-19,499,Pro,EU,28
ACC0007,2023-06-09,199,Enterprise,EU,8
ACC0008,2023-08-04,99,Starter,NA,45
ACC0009,2022-03-30,499,Starter,NA,8
ACC0010,2023-05-27,99,Pro,EU,19
ACC0011,2022-02-16,99,Enterprise,EU,38
ACC0012,2023-11-23,199,Enterprise,EU,29
ACC0013,2023-06-06,199,Starter,EU,23
ACC0014,2022-10-11,49,Pro,EU,47
ACC0015,2023-01-12,49,Starter,APAC,32
ACC0016,2023-09-30,199,Pro,EU,10
ACC0017,2022-05-14,499,Enterprise,APAC,27
ACC0018,2023-10-29,49,Starter,NA,49
ACC0019,2022-09-05,99,Starter,NA,1
ACC0020,2023-10-14,499,Starter,APAC,39
ACC0021,2022-11-14,99,Enterprise,EU,29
ACC0022,2023-03-12,199,Starter,NA,45
ACC0023,2022-06-25,99,Enterprise,EU,3
ACC0024,2023-11-17,499,Pro,EU,47
ACC0025,2023-08-09,199,Enterprise,APAC,37
ACC0026,2022-12-17,499,Pro,NA,31
ACC0027,2022-05-23,99,Enterprise,NA,11
ACC0028,2023-02-02,499,Enterprise,APAC,22
ACC0029,2023-09-16,199,Starter,EU,18
ACC0030,2023-12-19,99,Enterprise,EU,35
ACC0031,2023-10-05,99,Starter,NA,6
ACC0032,2023-01-04,49,Pro,APAC,3
ACC0033,2023-05-16,49,Pro,APAC,5
ACC0034,2023-09-14,499,Starter,EU,9
ACC0035,2023-01-05,49,Pro,EU,28
ACC0036,2023-08-02,49,Enterprise,APAC,19
ACC0037,2023-01-17,49,Starter,NA,28
ACC0038,2022-03-27,49,Starter,EU,27
ACC0039,2023-04-05,199,Starter,APAC,13
ACC0040,2022-11-21,199,Pro,APAC,38
ACC0041,2023-06-06,49,Pro,APAC,43
ACC0042,2023-05-04,499,Enterprise,NA,21
ACC0043,2023-02-01,199,Enterprise,EU,27
ACC0044,2022-12-21,49,Starter,EU,46
ACC0045,2022-10-15,199,Enterprise,EU,6
ACC0046,2023-04-04,99,Pro,NA,38
ACC0047,2023-09-16,199,Enterprise,EU,49
ACC0048,2023-06-20,199,Pro,EU,11
ACC0049,2022-10-18,499,Enterprise,EU,47
ACC0050,2022-06-17,199,Pro,EU,41
ACC0051,2023-09-13,499,Pro,NA,17
ACC0052,2023-03-04,99,Enterprise,APAC,39
ACC0053,2023-12-03,49,Enterprise,APAC,7
ACC0054,2023-05-05,499,Pro,EU,30
ACC0055,2022-12-21,199,Starter,EU,21
ACC0056,2022-07-15,199,Enterprise,EU,1
ACC0057,2023-06-29,499,Pro,NA,25
ACC0058,2023-12-18,99,Enterprise,EU,32
ACC0059,2023-11-25,49,Enterprise,NA,8
ACC0060,2023-10-21,199,Enterprise,EU,5
ACC0061,2022-01-11,99,Enterprise,EU,30
ACC0062,2023-08-05,49,Enterprise,APAC,8
ACC0063,2022-09-13,49,Starter,EU,49
ACC0064,2023-01-31,199,Starter,NA,19
ACC0065,2024-01-01,499,Starter,APAC,44
ACC0066,2023-02-13,199,Pro,NA,30
ACC0067,2022-12-28,199,Starter,APAC,15
ACC0068,2022-09-16,199,Starter,NA,36
ACC0069,2022-01-03,99,Pro,APAC,44
ACC0070,2022-03-25,499,Starter,NA,27
ACC0071,2022-06-05,99,Enterprise,NA,13
ACC0072,2023-10-25,199,Starter,EU,14
ACC0073,2022-06-25,499,Starter,APAC,37
ACC0074,2023-12-08,49,Starter,APAC,48
ACC0075,2023-04-17,499,Enterprise,EU,30
ACC0076,2023-09-11,199,Enterprise,NA,39
ACC0077,2023-02-28,499,Enterprise,NA,47
ACC0078,2022-05-14,49,Enterprise,APAC,13
ACC0079,2023-01-15,49,Pro,NA,16
ACC0080,2023-10-29,499,Enterprise,APAC,44
ACC0081,2022-10-04,49,Enterprise,APAC,7
ACC0082,2022-08-24,99,Enterprise,NA,48
ACC0083,2022-01-13,499,Enterprise,NA,27
ACC0084,2022-12-08,49,Pro,NA,45
ACC0085,2022-02-04,49,Starter,EU,35
ACC0086,2023-07-13,499,Starter,APAC,15
ACC0087,2022-08-02,99,Enterprise,NA,28
ACC0088,2023-02-16,499,Enterprise,EU,35
ACC0089,2023-02-09,49,Enterprise,NA,7
ACC0090,2023-05-09,499,Starter,APAC,46
ACC0091,2023-10-20,49,Starter,EU,46
ACC0092,2022-06-08,199,Enterprise,APAC,20
ACC0093,2023-09-29,499,Starter,NA,32
ACC0094,2022-04-20,499,Pro,NA,38
ACC0095,2023-07-03,49,Enterprise,NA,40
ACC0096,2023-06-10,49,Enterprise,EU,32
ACC0097,2022-12-13,49,Pro,EU,26
ACC0098,2023-09-28,49,Pro,EU,39
ACC0099,2022-10-06,499,Starter,EU,20
ACC0100,2023-04-24,49,Pro,NA,18
ACC0101,2022-04-21,499,Enterprise,NA,15
ACC0102,2023-09-28,99,Starter,NA,22
ACC0103,2023-03-07,499,Pro,EU,22
ACC0104,2023-06-26,49,Starter,EU,21
ACC0105,2022-04-25,49,Starter,NA,2
ACC0106,2022-03-31,99,Starter,NA,40
ACC0107,2022-07-31,499,Starter,EU,43
ACC0108,2023-07-04,99,Pro,APAC,18
ACC0109,2023-08-18,499,Enterprise,NA,23
ACC0110,2023-06-23,49,Enterprise,NA,13
ACC0111,2023-12-30,499,Pro,NA,41
ACC0112,2022-12-26,49,Enterprise,EU,9
ACC0113,2023-05-01,49,Starter,NA,49
ACC0114,2023-01-07,199,Starter,NA,7
ACC0115,2022-08-03,199,Starter,NA,41
ACC0116,2022-01-15,499,Pro,NA,1
ACC0117,2022-09-16,49,Starter,NA,2
ACC0118,2023-04-08,99,Starter,APAC,4
ACC0119,2022-04-30,49,Pro,APAC,14
ACC0120,2022-05-08,99,Starter,NA,32
ACC0121,2023-12-24,499,Starter,NA,36
ACC0122,2023-06-07,499,Enterprise,NA,2
ACC0123,2023-11-19,99,Pro,NA,40
ACC0124,2023-10-07,99,Starter,EU,14
ACC0125,2022-11-21,49,Starter,EU,20
ACC0126,2022-11-16,499,Starter,EU,25
ACC0127,2023-05-21,49,Starter,APAC,42
ACC0128,2023-06-10,99,Enterprise,NA,49
ACC0129,2022-02-19,199,Enterprise,EU,8
ACC0130,2023-08-07,199,Enterprise,NA,28
ACC0131,2022-03-10,199,Enterprise,NA,46
ACC0132,2023-01-26,99,Pro,APAC,21
ACC0133,2023-01-18,49,Starter,APAC,23
ACC0134,2022-01-16,499,Enterprise,EU,32
ACC0135,2023-03-15,99,Starter,EU,8
ACC0136,2023-07-22,199,Pro,APAC,31
ACC0137,2023-09-09,49,Starter,APAC,37
ACC0138,2022-05-12,499,Starter,NA,16
ACC0139,2023-07-14,499,Enterprise,NA,40
ACC0140,2022-09-05,99,Enterprise,EU,42
ACC0141,2022-09-30,99,Pro,EU,27
ACC0142,2023-09-15,499,Starter,APAC,40
ACC0143,2022-12-15,499,Enterprise,EU,41
ACC0144,2023-04-29,199,Enterprise,NA,18
ACC0145,2023-07-04,499,Enterprise,APAC,35
ACC0146,2022-12-23,99,Pro,NA,49
ACC0147,2022-11-14,49,Starter,APAC,15
ACC0148,2023-09-25,199,Enterprise,APAC,27
ACC0149,2022-02-17,199,Starter,NA,17
ACC0150,2022-01-10,499,Pro,EU,40
ACC0151,2022-08-21,49,Starter,EU,2
ACC0152,2022-02-05,199,Enterprise,EU,49
ACC0153,2023-02-17,99,Starter,EU,31
ACC0154,2023-04-07,499,Starter,NA,37
ACC0155,2022-01-04,99,Pro,APAC,41
ACC0156,2022-02-13,499,Pro,NA,41
ACC0157,2023-07-22,199,Starter,EU,34
ACC0158,2023-07-08,499,Starter,EU,34
ACC0159,2022-09-12,49,Starter,NA,3
ACC0160,2022-04-24,99,Pro,APAC,17
ACC0161,2023-02-01,49,Pro,NA,14
ACC0162,2022-06-23,99,Starter,NA,14
ACC0163,2022-09-12,99,Pro,NA,46
ACC0164,2023-04-11,499,Enterprise,APAC,38
ACC0165,2022-10-04,199,Pro,NA,35
ACC0166,2023-04-09,199,Pro,NA,1
ACC0167,2023-05-17,49,Pro,EU,48
ACC0168,2023-03-17,499,Enterprise,NA,29
ACC0169,2022-03-10,199,Enterprise,EU,4
ACC0170,2023-05-24,99,Enterprise,EU,33
ACC0171,2022-11-22,99,Starter,EU,17
ACC0172,2022-03-08,499,Starter,APAC,28
ACC0173,2022-10-31,49,Enterprise,EU,26
ACC0174,2023-04-29,499,Starter,NA,8
ACC0175,2023-07-02,49,Starter,NA,34
ACC0176,2023-02-21,499,Starter,EU,18
ACC0177,2022-06-08,99,Enterprise,EU,31
ACC0178,2022-05-29,499,Pro,NA,27
ACC0179,2022-01-27,199,Enterprise,EU,16
ACC0180,2023-08-07,199,Enterprise,APAC,10
ACC0181,2022-09-05,499,Starter,EU,40
ACC0182,2022-04-11,49,Starter,APAC,12
ACC0183,2023-12-03,49,Pro,APAC,22
ACC0184,2022-04-06,99,Pro,APAC,16
ACC0185,2023-01-19,99,Pro,EU,12
ACC0186,2022-10-09,49,Pro,APAC,11
ACC0187,2022-11-18,499,Enterprise,APAC,20
ACC0188,2023-01-31,99,Pro,EU,1
ACC0189,2022-10-05,49,Enterprise,APAC,27
ACC0190,2023-06-13,49,Starter,EU,3
ACC0191,2022-09-20,499,Pro,NA,12
ACC0192,2023-09-11,199,Starter,APAC,30
ACC0193,2023-08-03,49,Starter,EU,9
ACC0194,2023-10-02,99,Enterprise,NA,37
ACC0195,2022-10-20,499,Pro,APAC,1
ACC0196,2022-10-21,499,Enterprise,APAC,42
ACC0197,2023-08-31,499,Starter,EU,49
ACC0198,2023-01-30,199,Pro,NA,4
ACC0199,2023-05-28,199,Starter,EU,15
ACC0200,2022-06-29,99,Starter,APAC,27
ACC0201,2023-11-24,99,Pro,APAC,8
ACC0202,2022-08-23,499,Pro,APAC,23
ACC0203,2022-12-03,99,Pro,APAC,15
ACC0204,2022-01-08,49,Enterprise,NA,27
ACC0205,2023-03-19,199,Enterprise,NA,31
ACC0206,2023-06-23,499,Starter,EU,39
ACC0207,2023-10-20,499,Pro,EU,47
ACC0208,2022-04-01,49,Starter,EU,8
ACC0209,2022-09-29,49,Starter,APAC,30
ACC0210,2022-01-05,49,Starter,EU,42
ACC0211,2023-08-17,49,Starter,NA,18
ACC0212,2022-08-07,499,Starter,EU,4
ACC0213,2022-04-28,199,Pro,EU,47
ACC0214,2023-08-16,199,Enterprise,NA,43
ACC0215,2023-08-05,49,Pro,NA,22
ACC0216,2022-04-25,99,Pro,APAC,3
ACC0217,2022-09-20,499,Pro,NA,15
ACC0218,2022-11-02,199,Enterprise,NA,35
ACC0219,2023-10-16,49,Enterprise,EU,47
ACC0220,2023-02-26,99,Enterprise,NA,38
ACC0221,2022-07-26,99,Pro,APAC,33
ACC0222,2023-09-15,49,Enterprise,EU,14
ACC0223,2022-10-30,499,Starter,APAC,48
ACC0224,2022-04-22,199,Enterprise,NA,1
ACC0225,2023-02-21,99,Pro,APAC,49
ACC0226,2023-07-09,199,Pro,APAC,26
ACC0227,2022-10-12,199,Starter,NA,8
ACC0228,2023-10-02,99,Enterprise,NA,16
ACC0229,2022-07-04,49,Enterprise,EU,38
ACC0230,2022-08-09,99,Starter,EU,10
ACC0231,2023-03-20,99,Pro,EU,42
ACC0232,2022-04-27,499,Pro,NA,37
ACC0233,2022-03-11,199,Enterprise,APAC,26
ACC0234,2022-03-11,49,Enterprise,APAC,28
ACC0235,2023-09-14,199,Enterprise,EU,12
